,total_pen,total_incidents,Camera_Type,Location_Desc,lat,lon
3070,49345.0,56,MOBILE SPEED CAMERA,"ROSS SMITH CRES, SCULLIN SOUTHERN CROSS PRIMARY",-35.233137,149.038887
3025,50862.0,73,MOBILE SPEED CAMERA,ELLERSTON AVE ISABELLA PLAINS PRIMARY,-35.405258,149.117831
3062,106041.0,103,MOBILE SPEED CAMERA,"BADIMARA STREET, WARAMANGA",-35.355139,149.053829
188,7271.0,22,MOBILE SPEED CAMERA,JOHNSON DRIVE,-35.43319,149.11505
291,8723.0,16,MOBILE SPEED CAMERA,SCHLICH STREET. YARRALUMLA,-35.304377,149.102701
3026,54089.0,81,MOBILE SPEED CAMERA,BOX HILL AVE LANYON HIGH SCHOOL,-35.46098,149.097771
147,14501.0,40,MOBILE SPEED CAMERA,EUCUMBENE DRIVE,-35.34044,149.02803
290,7009.0,20,MOBILE SPEED CAMERA,HEMMINGS CRES. RICHARDSON,-35.421002,149.107429
3057,19323.0,42,MOBILE SPEED CAMERA,LAWRENCE WACKETT CRESCENT - THEODORE PRIMARY,-35.447025,149.12462
145,8954.0,28,MOBILE SPEED CAMERA,SUMMERLAND CIRCUIT,-35.38362,149.0638
271,28310.0,54,MOBILE SPEED CAMERA,DONALDSON STREET,-35.275509,149.136237
84,63672.0,82,MOBILE SPEED CAMERA,GUNDAROO DRIVE,-35.18042,149.13137
249,16457.0,34,MOBILE SPEED CAMERA,JIM PIKE AVENUE,-35.461421,149.078774
105,118708.0,201,MOBILE SPEED CAMERA,STONEHAVEN CRESCENT,-35.31894,149.1062
3049,12132.0,26,MOBILE SPEED CAMERA,WIMMERA STREET - MOTHER TERESA PRIMARY SCHOOL,-35.195384,149.152436
211,1513.0,5,MOBILE SPEED CAMERA,LACHLAN STREET,-35.24772,149.0602
269,5808.0,13,MOBILE SPEED CAMERA,TORRENS STREET,-35.26887,149.134924
221,48630.0,74,MOBILE SPEED CAMERA,ESSIE COFFEY STREET,-35.153679,149.143521
69,11027.0,23,MOBILE SPEED CAMERA,ERINDALE DRIVE BETWEEN SOWARD WAY AND JUDKINS STREET,-35.40759,149.08988
3058,15728.0,34,MOBILE SPEED CAMERA,HAMBIDGE CRESCENT - CAROLINE CHISHOLM SCHOOL,-35.418558,149.122323
268,890.0,4,MOBILE SPEED CAMERA,FORNAX STREET,-35.211365,149.096778
162,29133.0,74,MOBILE SPEED CAMERA,CARRUTHERS STREET,-35.32688,149.07548
41,20426.0,56,MOBILE SPEED CAMERA,LEARMONTH DRIVE,-35.39301,149.04422
311,8367.0,18,MOBILE SPEED CAMERA,"CATCHPOLE STREET, MACQUARIE",-35.24946,149.066222
154,21119.0,55,MOBILE SPEED CAMERA,BARRACLOUGH CRESCENT,-35.41678,149.09937
3012,16527.0,33,MOBILE SPEED CAMERA,DRUMSTON STREET - ST MARY MACKILLOP COLLEGE,-35.425473,149.090901
263,28455.0,50,MOBILE SPEED CAMERA,MARCONI CRES,-35.378508,149.059674
36,11461.0,46,MOBILE SPEED CAMERA,BADIMARA STREET,-35.35838,149.0579
301,1466.0,5,MOBILE SPEED CAMERA,"PETHEBRIDGE STREET, PEARCE",-35.362333,149.086319
146,54728.0,103,MOBILE SPEED CAMERA,PERRY DRIVE,-35.35658,149.03845
108,21893.0,41,MOBILE SPEED CAMERA,SPOFFORTH STREET,-35.22013,149.00703
244,67665.0,96,MOBILE SPEED CAMERA,LANYON DRIVE,-35.381983,149.176531
241,1138.0,4,MOBILE SPEED CAMERA,SHUMACK STREET,-35.246718,149.050547
222,4730.0,10,MOBILE SPEED CAMERA,SHOALHAVEN AVENUE,-35.171001,149.125079
212,1082.0,4,MOBILE SPEED CAMERA,BENNELONG CRESCENT,-35.25367,149.06068
267,9988.0,15,MOBILE SPEED CAMERA,WILKINS STREET,-35.368492,149.098549
312,21627.0,39,MOBILE SPEED CAMERA,"NORTHCOTT DRIVE, CAMPBELL",35292233.0,149.162066
283,2627.0,8,MOBILE SPEED CAMERA,"MACFARLAND CRESCENT ,CHIFLEY",-35.362445,149.079249
101,53418.0,96,MOBILE SPEED CAMERA,NEMARANG CRESCENT,-35.35196,149.06259
137,18311.0,46,MOBILE SPEED CAMERA,KITCHENER STREET,-35.33864,149.10264
265,21270.0,35,MOBILE SPEED CAMERA,BUNBURY STREET,-35.347685,149.052099
3041,4213.0,9,MOBILE SPEED CAMERA,"BURRINJUCK CRESCENT, DUFFY PRIMARY",-35.334808,149.031851
98,4799.0,14,MOBILE SPEED CAMERA,HAYDON DRIVE,-35.24428,149.09109
295,18404.0,37,MOBILE SPEED CAMERA,"BOOLIMBA CRESCENT, NARRABUNDAH",-35.332134,149.1525
48,23213.0,68,MOBILE SPEED CAMERA,LIVINGSTONE AVENUE,-35.38785,149.08248
204,5508.0,13,MOBILE SPEED CAMERA,CAPITAL CIRCLE,-35.30837,149.12822
299,9332.0,15,MOBILE SPEED CAMERA,"BACCHUS CIRCUIT, KAMBAH",-35.375472,149.051165
39,91340.0,158,MOBILE SPEED CAMERA,LONGMORE CRESCENT,-35.39204,149.10177
3047,26614.0,42,MOBILE SPEED CAMERA,CHAUVEL STREET - CAMPBELL PRIMARY,-35.290995,149.155772
124,18406.0,60,MOBILE SPEED CAMERA,STARKE STREET,-35.22099,149.01742
90,341314.0,245,MOBILE SPEED CAMERA,MAJURA ROAD,-35.22927,149.19663
230,730582.0,271,MOBILE SPEED CAMERA,JOHN GORTON DRIVE,-35.297275,149.034234
216,1710.0,6,MOBILE SPEED CAMERA,JOHN CLELAND CRESCENT,-35.22417,149.05494
279,8417.0,19,MOBILE SPEED CAMERA,"GOLDSTEIN CRESCENT ,CHISHOLM",-35.421752,149.118726
210,3406.0,7,MOBILE SPEED CAMERA,LYTTLETON CRESCENT,-35.2611,149.07037
180,16068.0,35,MOBILE SPEED CAMERA,SPALDING STREET,-35.20182,149.04982
197,983.0,4,MOBILE SPEED CAMERA,MIRRABEI DRIVE,-35.17229,149.11779
3021,961.0,3,MOBILE SPEED CAMERA,LAMBRIGG STREET FARRER PRIMARY SCHOOL,-35.379083,149.107299
201,1451.0,5,MOBILE SPEED CAMERA,WILLIAM SLIM DRIVE,-35.20431,149.08991
71,12090.0,36,MOBILE SPEED CAMERA,LAUNCESTON STREET,-35.34074,149.08501
310,23890.0,37,MOBILE SPEED CAMERA,"DAVID WALSH AVENUE, FORDE",-35.176806,149.146253
44,28171.0,81,MOBILE SPEED CAMERA,TILLYARD DRIVE,-35.20492,149.03708
152,55908.0,112,MOBILE SPEED CAMERA,DIXON DRIVE,-35.3295,149.04562
254,7332.0,15,MOBILE SPEED CAMERA,COMPANION CRES,-35.209096,149.042819
21,5802.0,22,MOBILE SPEED CAMERA,MUGGA LANE,-35.38006,149.13492
99,2479.0,11,MOBILE SPEED CAMERA,YAMBA DRIVE,-35.34038,149.09318
315,5016.0,9,MOBILE SPEED CAMERA,"DEVONPORT STREET, LYONS",-35.336234,149.074306
78,24927.0,39,MOBILE SPEED CAMERA,CANBERRA AVENUE,-35.32845,149.15852
278,23213.0,30,MOBILE SPEED CAMERA,"HAMBIDGE CRESCENT, CHISHOLM",-35.417624,149.128172
133,11447.0,31,MOBILE SPEED CAMERA,CANBERRA AVENUE,-35.33261,149.16536
46,10550.0,32,MOBILE SPEED CAMERA,NEWMAN MORRIS CIRCUIT,-35.40984,149.07526
170,66784.0,130,MOBILE SPEED CAMERA,GILES STREET,-35.31744,149.13879
167,4410.0,17,MOBILE SPEED CAMERA,HODGSON CRESCENT,-35.36081,149.08434
234,12206.0,20,MOBILE SPEED CAMERA,NULLARBOR AVENUE,-35.201173,149.159284
134,36038.0,61,MOBILE SPEED CAMERA,CANBERRA AVENUE,-35.32241,149.14665
117,7222.0,26,MOBILE SPEED CAMERA,THARWA DRIVE,-35.44334,149.09827
144,3003.0,12,MOBILE SPEED CAMERA,BODDINGTON CRESCENT,-35.39014,149.05303
245,13962.0,27,MOBILE SPEED CAMERA,AIKMAN DRIVE,-35.237188,149.077151
67,8825.0,15,MOBILE SPEED CAMERA,GINNINDERRA DRIVE,-35.20631,149.03068
158,8274.0,19,MOBILE SPEED CAMERA,WOODCOCK DRIVE,-35.44779,149.07923
238,2360.0,5,MOBILE SPEED CAMERA,LHOTSKY STREET,-35.1989,149.031571
178,41580.0,63,MOBILE SPEED CAMERA,FLEMINGTON ROAD,-35.212,149.14674
52,14915.0,44,MOBILE SPEED CAMERA,NOVAR STREET,-35.30853,149.09836
213,3797.0,10,MOBILE SPEED CAMERA,OSBURN DRIVE,-35.2154,149.01548
3074,10383.0,15,MOBILE SPEED CAMERA,"GROOM STREET, HUGHES PRIMARY",-35.3325055201,149.0930128098
70,700.0,1,MOBILE SPEED CAMERA,KURINGA DRIVE,-35.18874,149.07158
239,5019.0,11,MOBILE SPEED CAMERA,BENJAMIN WAY,-35.244295,149.06727
228,1185.0,4,MOBILE SPEED CAMERA,WELL STATION ROAD,-35.207973,149.143581
3028,9599.0,21,MOBILE SPEED CAMERA,ASHBURTON CCT KALEEN PRIMARY SCHOOL,-35.22518,149.113981
226,10908.0,27,MOBILE SPEED CAMERA,LANGTREE GRESCENT,-35.20542,149.110131
219,1471.0,5,MOBILE SPEED CAMERA,VERBRUGGHEN STREET,-35.21345,149.05398
85,12755.0,26,MOBILE SPEED CAMERA,GUNDAROO DRIVE,-35.197,149.10525
87,13776.0,44,MOBILE SPEED CAMERA,CLIFT CRESCENT,-35.42542,149.10587
179,2078.0,8,MOBILE SPEED CAMERA,DUMAS STREET,-35.22198,149.07237
100,324.0,2,MOBILE SPEED CAMERA,JANSZ CRESCENT,-35.33043,149.13031
92,2599.0,11,MOBILE SPEED CAMERA,NORTHBOURNE AVENUE,-35.23832,149.14024
109,486.0,3,MOBILE SPEED CAMERA,GINNINDERRA DRIVE,-35.20152,149.02059
103,3765.0,13,MOBILE SPEED CAMERA,FLINDERS WAY,-35.32703,149.12983
33,6925.0,38,MOBILE SPEED CAMERA,GLADSTONE STREET,-35.17285,149.06685
49,3862.0,18,MOBILE SPEED CAMERA,CLIVE STEEL AVENUE,-35.4148,149.09612
121,10588.0,35,MOBILE SPEED CAMERA,DAVID STREET,-35.26635,149.11925
163,863.0,4,MOBILE SPEED CAMERA,GILMORE CRESCENT,-35.34326,149.10896
131,2017.0,7,MOBILE SPEED CAMERA,BURKITT STREET,-35.23572,149.05081
172,56879.0,94,MOBILE SPEED CAMERA,LAWRENCE WACKETT CRESCENT,-35.44389,149.12244
176,7951.0,29,MOBILE SPEED CAMERA,HURLEY STREET,-35.35833,149.09387
168,17474.0,57,MOBILE SPEED CAMERA,BLAMEY CRESCENT,-35.28609,149.15099
140,4055.0,17,MOBILE SPEED CAMERA,KOOTARA CRESCENT,-35.33294,149.15751
6,820.0,3,MOBILE SPEED CAMERA,COPPINS CROSSING ROAD,-35.27484,149.04666
148,527.0,3,MOBILE SPEED CAMERA,TROUGHTON STREET,-35.4723,149.10119
149,727.0,4,MOBILE SPEED CAMERA,PAPERBARK STREET,-35.46911,149.10456
97,830.0,5,MOBILE SPEED CAMERA,EASTERN VALLEY WAY,-35.24594,149.07515
169,568.0,2,MOBILE SPEED CAMERA,TRUSCOTT STREET,-35.28723,149.16128
191,8887.0,11,MOBILE SPEED CAMERA,MCCULLOCH STREET,-35.32014,149.08146
3040,1604.0,7,MOBILE SPEED CAMERA,"NEMARANG CRESCENT, ARAWANG PRIMARY",-35.353754,149.060072
276,793.0,3,FIXED ONLY SPEED CAMERA,"FROGGARTT STREET, TURNER",-35.268,149.119417
270,257.0,2,MOBILE SPEED CAMERA,GIRRAHWEEN STREET,-35.270707,149.136787
189,7996.0,12,MOBILE SPEED CAMERA,DOWNARD STREET,-35.43966,149.10318
190,257.0,1,MOBILE SPEED CAMERA,DUGGAN STREET,-35.43963,149.0984
284,4426.0,10,MOBILE SPEED CAMERA,"LAMBRIGG ST , CHISHOLM",-35.377041,149.102869
107,482.0,2,MOBILE SPEED CAMERA,ROSS SMITH CRESCENT,-35.23854,149.03753
217,1066.0,4,MOBILE SPEED CAMERA,RATCLIFFE CRESCENT,-35.2313,149.05462
236,1266.0,5,MOBILE SPEED CAMERA,THE VALLEY AVENUE,-35.186551,149.127726
199,1729.0,4,MOBILE SPEED CAMERA,JOYNTON SMITH DRIVE,-35.23344,149.06246
220,785.0,3,MOBILE SPEED CAMERA,MULLIGANS FLAT ROAD,-35.161709,149.144903
4000,339893.0,103,MOBILE SPEED CAMERA,BARTON HIGHWAY/WILLIAM SLIM DRIVE ROUNDABOUT - ROAD WORKS - NORTHBOUND,-35.202827,149.096463
4001,24432.0,20,MOBILE SPEED CAMERA,BARTON HIGHWAY/WILLIAM SLIM DRIVE ROUNDABOUT- ROAD WORKS -  SOUTHBOUND,-35.202706,149.096607
214,236.0,1,MOBILE SPEED CAMERA,PARKWOOD ROAD,-35.21613,148.99232
3044,5872.0,15,MOBILE SPEED CAMERA,"STREETON DRIVE, CHAPMAN PRIMARY",-35.355123,149.042546
242,588.0,2,MOBILE SPEED CAMERA,MURRANJI STREET,-35.247251,149.04005
3024,257.0,1,MOBILE SPEED CAMERA,BRAMSTON STREET FADDEN PRIMARY SCHOOL,-35.40526,149.117831
177,203.0,1,MOBILE SPEED CAMERA,MADIGAN STREET,-35.24761,149.16331
30,664.0,1,MOBILE SPEED CAMERA,TAVERNER STREET,-35.40836,149.08405
151,167.0,1,MOBILE SPEED CAMERA,NARRABUNDAH LANE,-35.35206,149.14105
3034,1573.0,5,MOBILE SPEED CAMERA,BARNARD CIRT ST FRANCIS XAVIER HIGH,-35.225425,149.040971
218,292.0,1,MOBILE SPEED CAMERA,KREFFT CRESCENT,-35.223,149.04277
4006,52308.0,40,MOBILE SPEED CAMERA,GUNDAROO DRIVE ROAD WORKS,-35.218416,149.080925
3032,325.0,1,MOBILE SPEED CAMERA,HEYDON CRES EVATT PRIMARY SCHOOL,-35.207325,149.076384
3068,325.0,1,MOBILE SPEED CAMERA,ERLDUNDA CCT HAWKER HAWKER PRIMARY,-35.250687,149.034776
272,301.0,1,MOBILE SPEED CAMERA,COOYONG STREET,-35.282084,149.137251
